timestamp,symbol,score,expected_return,confidence,horizon_steps,is_valid,tag_alpha_source,tag_model_scores,tag_session,tag_regime_vol,tag_regime_trend,tag_regime_liquidity,tag_strategy
2026-03-17 09:00:00,010120,0.5449808031940254,5.449808031940254,0.5449808031940254,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.0, 'OrderFlowAlpha(thr=0.1, w=5)': 0.908301}",regular,LOW_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:05,010120,0.5218547841540813,5.218547841540813,0.5218547841540813,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.0, 'OrderFlowAlpha(thr=0.1, w=5)': 0.869758}",regular,LOW_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:10,010120,0.17419592598318295,1.7419592598318294,0.17419592598318295,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.031425, 'OrderFlowAlpha(thr=0.1, w=5)': 0.311277}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:20,010120,-0.057117569023014715,-0.5711756902301471,0.057117569023014715,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.142794, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:25,010120,-0.14730391932612374,-1.4730391932612374,0.07745043816765693,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.204147, 'OrderFlowAlpha(thr=0.1, w=5)': 0.0}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:35,010120,-0.3533866074228568,-3.5338660742285684,0.07292535212756532,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.292904, 'OrderFlowAlpha(thr=0.1, w=5)': -0.60912}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:40,010120,-0.30121399412974,-3.0121399412974,0.07286492740837136,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.307565, 'OrderFlowAlpha(thr=0.1, w=5)': -0.839235}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:45,010120,-0.23366542004791116,-2.3366542004791118,0.07596092266026234,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.335567, 'OrderFlowAlpha(thr=0.1, w=5)': -0.799161}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:50,010120,-0.2248215161256424,-2.2482151612564243,0.0799028389802549,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.314331, 'OrderFlowAlpha(thr=0.1, w=5)': -0.810037}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:00:55,010120,-0.15085858797636612,-1.508585879763661,0.08412345745917459,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.291968, 'OrderFlowAlpha(thr=0.1, w=5)': -0.824799}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:01:00,010120,-0.06725785586460095,-0.6725785586460096,0.08841086903004397,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.269508, 'OrderFlowAlpha(thr=0.1, w=5)': -0.850461}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:02:25,010120,-0.06976111230735203,-0.6976111230735204,0.12494516450818573,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.067699, 'OrderFlowAlpha(thr=0.1, w=5)': -0.972592}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:02:35,010120,0.1371910028010558,1.371910028010558,0.1275031502294568,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.212034, 'OrderFlowAlpha(thr=0.1, w=5)': -0.971666}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:02:40,010120,0.14127219554698803,1.4127219554698802,0.12861894416239697,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.207801, 'OrderFlowAlpha(thr=0.1, w=5)': -0.97005}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:02:45,010120,0.15392104638146342,1.5392104638146342,0.1296764368451331,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.213847, 'OrderFlowAlpha(thr=0.1, w=5)': -0.969028}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:02:55,010120,-0.13419649594526897,-1.3419649594526897,0.13232480456097617,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.048301, 'OrderFlowAlpha(thr=0.1, w=5)': -0.965042}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:00,010120,-0.19158236939856396,-1.9158236939856397,0.13370513231806794,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.013144, 'OrderFlowAlpha(thr=0.1, w=5)': -0.961711}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:05,010120,-0.22176251757026788,-2.217625175702679,0.13507831460714798,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.008504, 'OrderFlowAlpha(thr=0.1, w=5)': -0.959627}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:10,010120,-0.22858869144981242,-2.285886914498124,0.13642486630729375,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.02129, 'OrderFlowAlpha(thr=0.1, w=5)': -0.956683}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:15,010120,-0.2266009972016656,-2.266009972016656,0.13774169735439262,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.028326, 'OrderFlowAlpha(thr=0.1, w=5)': -0.956059}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:20,010120,-0.22118000620122277,-2.2118000620122276,0.13902519607730707,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.03167, 'OrderFlowAlpha(thr=0.1, w=5)': -0.956097}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:25,010120,-0.21019854550434416,-2.1019854550434416,0.14026192837190177,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.032683, 'OrderFlowAlpha(thr=0.1, w=5)': -0.952187}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:30,010120,-0.2568422568175244,-2.5684225681752437,0.14150870532520624,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.063652, 'OrderFlowAlpha(thr=0.1, w=5)': -0.949007}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:35,010120,-0.26297913540827633,-2.629791354082763,0.14273977517539227,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.080275, 'OrderFlowAlpha(thr=0.1, w=5)': -0.945761}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:40,010120,-0.23966397700716044,-2.3966397700716042,0.14335672925711115,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.087753, 'OrderFlowAlpha(thr=0.1, w=5)': -0.941909}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:45,010120,-0.20899008567155553,-2.0899008567155555,0.144511187294498,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.089493, 'OrderFlowAlpha(thr=0.1, w=5)': -0.938279}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:50,010120,-0.1924417862402299,-1.924417862402299,0.14563470197718753,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.08772, 'OrderFlowAlpha(thr=0.1, w=5)': -0.939468}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:03:55,010120,-0.08248366836853044,-0.8248366836853044,0.1466205806377779,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.021101, 'OrderFlowAlpha(thr=0.1, w=5)': -0.941269}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:04:05,010120,0.07225369546073399,0.7225369546073399,0.14818806834878395,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.093108, 'OrderFlowAlpha(thr=0.1, w=5)': -0.946095}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:25,010120,0.09567955613417672,0.9567955613417672,0.14887493869834034,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.11524, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950546}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:30,010120,0.10605511992171829,1.060551199217183,0.14953250346155134,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.124908, 'OrderFlowAlpha(thr=0.1, w=5)': -0.953066}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:35,010120,0.1014233128927819,1.014233128927819,0.1501779462765997,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.126799, 'OrderFlowAlpha(thr=0.1, w=5)': -0.955834}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:40,010120,0.0712863926560453,0.712863926560453,0.15082677896664998,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.12395, 'OrderFlowAlpha(thr=0.1, w=5)': -0.960653}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:05:55,010120,-0.11161806770335908,-1.116180677033591,0.15295339234194663,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.03866, 'OrderFlowAlpha(thr=0.1, w=5)': -0.967199}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:00,010120,-0.1364549523600467,-1.364549523600467,0.15372243647809636,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.028086, 'OrderFlowAlpha(thr=0.1, w=5)': -0.968869}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:05,010120,-0.148502603308422,-1.48502603308422,0.1544844056902451,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.020814, 'OrderFlowAlpha(thr=0.1, w=5)': -0.968631}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:10,010120,-0.15464812765933564,-1.5464812765933564,0.15523615250721623,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.015765, 'OrderFlowAlpha(thr=0.1, w=5)': -0.968398}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:15,010120,-0.159690760586946,-1.59690760586946,0.1559772247473137,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.012219, 'OrderFlowAlpha(thr=0.1, w=5)': -0.968809}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:20,010120,-0.15890957765208294,-1.5890957765208293,0.15670425232316398,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.009693, 'OrderFlowAlpha(thr=0.1, w=5)': -0.968198}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:25,010120,-0.29413791968296066,-2.9413791968296064,0.1569434538915881,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.054964, 'OrderFlowAlpha(thr=0.1, w=5)': -0.96849}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:30,010120,-0.3176725098074826,-3.176725098074826,0.15723523147694143,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.07645, 'OrderFlowAlpha(thr=0.1, w=5)': -0.969133}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:35,010120,-0.26883674544644715,-2.6883674544644713,0.15754147783122882,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.07134, 'OrderFlowAlpha(thr=0.1, w=5)': -0.969658}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:40,010120,-0.2912397323772945,-2.912397323772945,0.15789551642439886,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.097249, 'OrderFlowAlpha(thr=0.1, w=5)': -0.969893}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:45,010120,-0.2934007447816816,-2.934007447816816,0.1676265213974696,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.109769, 'OrderFlowAlpha(thr=0.1, w=5)': -0.970457}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:50,010120,-0.2908572165616873,-2.9085721656168726,0.18073677342546068,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.113859, 'OrderFlowAlpha(thr=0.1, w=5)': -0.970166}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:06:55,010120,-0.2461768965059323,-2.461768965059323,0.19122592049165507,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.09718, 'OrderFlowAlpha(thr=0.1, w=5)': -0.968334}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:00,010120,-0.05940190212830182,-0.5940190212830182,0.2004688692105422,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.00554, 'OrderFlowAlpha(thr=0.1, w=5)': -0.968502}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:05,010120,-0.12377205745014751,-1.237720574501475,0.21249295266586676,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.04428, 'OrderFlowAlpha(thr=0.1, w=5)': -0.966996}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:10,010120,-0.1575006488436643,-1.575006488436643,0.2129939227090386,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.066199, 'OrderFlowAlpha(thr=0.1, w=5)': -0.964069}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:15,010120,-0.14267072767056801,-1.42670727670568,0.2129481166071299,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.061639, 'OrderFlowAlpha(thr=0.1, w=5)': -0.961872}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:20,010120,-0.16373119669761452,-1.6373119669761451,0.21293132254076616,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.072612, 'OrderFlowAlpha(thr=0.1, w=5)': -0.96163}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:25,010120,-0.16116779657343508,-1.6116779657343507,0.21291712480372416,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.076931, 'OrderFlowAlpha(thr=0.1, w=5)': -0.95789}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:30,010120,-0.1621411805393298,-1.621411805393298,0.21290369897780792,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.077106, 'OrderFlowAlpha(thr=0.1, w=5)': -0.9581}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:35,010120,-0.16220629373354623,-1.6220629373354623,0.21287973929673062,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.074775, 'OrderFlowAlpha(thr=0.1, w=5)': -0.959676}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:40,010120,-0.16176520972567923,-1.6176520972567923,0.21285628278810917,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.071004, 'OrderFlowAlpha(thr=0.1, w=5)': -0.962042}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:45,010120,-0.20322550771417724,-2.0322550771417722,0.21284199928949146,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.097772, 'OrderFlowAlpha(thr=0.1, w=5)': -0.958122}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:50,010120,-0.2198209775579005,-2.198209775579005,0.21284129592968218,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.110789, 'OrderFlowAlpha(thr=0.1, w=5)': -0.955018}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:07:55,010120,-0.15666523574572713,-1.5666523574572713,0.21257629848077206,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.083944, 'OrderFlowAlpha(thr=0.1, w=5)': -0.954423}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:00,010120,-0.15050511097654934,-1.5050511097654935,0.21258368632804595,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.09634, 'OrderFlowAlpha(thr=0.1, w=5)': -0.947257}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:05,010120,-0.12833581626185445,-1.2833581626185444,0.21273940797820998,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.100773, 'OrderFlowAlpha(thr=0.1, w=5)': -0.937585}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:10,010120,-0.10787228242099149,-1.078722824209915,0.21337101858741664,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.100273, 'OrderFlowAlpha(thr=0.1, w=5)': -0.932202}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:15,010120,-0.07059827623376869,-0.7059827623376869,0.21400527674647596,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.096812, 'OrderFlowAlpha(thr=0.1, w=5)': -0.926551}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:30,010120,0.0598452640766432,0.598452640766432,0.21531792888904402,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.079343, 'OrderFlowAlpha(thr=0.1, w=5)': -0.901561}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:45,010120,0.18956388894904874,1.8956388894904874,0.21596548015611688,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.021927, 'OrderFlowAlpha(thr=0.1, w=5)': -0.908726}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:50,010120,0.17960200998362041,1.7960200998362041,0.21608194320763274,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.034378, 'OrderFlowAlpha(thr=0.1, w=5)': -0.905798}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:08:55,010120,0.16589466100867303,1.6589466100867303,0.2162708906943095,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.025044, 'OrderFlowAlpha(thr=0.1, w=5)': -0.916271}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:00,010120,0.1831464727583895,1.831464727583895,0.21634548532125922,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.002851, 'OrderFlowAlpha(thr=0.1, w=5)': -0.927516}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:05,010120,0.458595502810554,4.58595502810554,0.21597951439468968,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.104791, 'OrderFlowAlpha(thr=0.1, w=5)': -0.935931}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:10,010120,0.6333054767682921,6.3330547676829205,0.2155576329891419,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.165399, 'OrderFlowAlpha(thr=0.1, w=5)': -0.936158}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:15,010120,0.68440658152376,6.8440658152376,0.21542042772156786,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.196257, 'OrderFlowAlpha(thr=0.1, w=5)': -0.944978}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:20,010120,0.7181489263818381,7.181489263818381,0.21520622981598603,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.208628, 'OrderFlowAlpha(thr=0.1, w=5)': -0.945466}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:25,010120,0.6285379298756101,6.285379298756101,0.21521053412933797,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.179359, 'OrderFlowAlpha(thr=0.1, w=5)': -0.946561}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:30,010120,0.5452181726947297,5.452181726947297,0.21487479935524817,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.155932, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950105}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:35,010120,0.4694017956912638,4.694017956912638,0.21447212973983543,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.136819, 'OrderFlowAlpha(thr=0.1, w=5)': -0.952167}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:40,010120,0.3872164985493262,3.8721649854932623,0.21406885156102132,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.120933, 'OrderFlowAlpha(thr=0.1, w=5)': -0.952815}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:45,010120,0.31405149830888396,3.1405149830888397,0.21368839740522316,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.107507, 'OrderFlowAlpha(thr=0.1, w=5)': -0.953575}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:50,010120,0.2659915367176911,2.659915367176911,0.2133344070697893,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.095994, 'OrderFlowAlpha(thr=0.1, w=5)': -0.952638}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:09:55,010120,0.21297910646495113,2.1297910646495115,0.2130025815186839,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.086003, 'OrderFlowAlpha(thr=0.1, w=5)': -0.951371}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:00,010120,0.18828793701851354,1.8828793701851354,0.21269505496154054,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.077247, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950608}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:05,010120,0.16770816473867076,1.6770816473867076,0.21242537194693262,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.069514, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950581}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:10,010120,0.14771293538558025,1.4771293538558026,0.21213979085032106,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.062643, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950868}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:15,010120,0.12746222806712995,1.2746222806712995,0.21186193437191692,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.056511, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950995}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:20,010120,0.11160813107649202,1.1160813107649201,0.21197033742605736,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.051018, 'OrderFlowAlpha(thr=0.1, w=5)': -0.951151}",regular,HIGH_VOL,TRENDING_UP,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:25,010120,0.10065659021188622,1.0065659021188622,0.21173302046810724,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.046086, 'OrderFlowAlpha(thr=0.1, w=5)': -0.951142}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:30,010120,0.084758885948094,0.84758885948094,0.21151182973159624,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.041648, 'OrderFlowAlpha(thr=0.1, w=5)': -0.951278}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:35,010120,0.058683449298507245,0.5868344929850724,0.21140570690423488,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.037649, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950953}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:10:40,010120,0.051899725551043746,0.5189972555104374,0.21149028282093962,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': 0.034042, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950853}",regular,HIGH_VOL,TRENDING_DOWN,LOW_VOL,MicroAlphaStrategy
2026-03-17 09:11:25,010120,-0.07416291231106396,-0.7416291231106397,0.21339443876411618,1,True,MicroAlpha,"{'EWMAlpha(fast=5, slow=20)': -0.035585, 'OrderFlowAlpha(thr=0.1, w=5)': -0.950083}",regular,HIGH_VOL,MEAN_REVERTING,LOW_VOL,MicroAlphaStrategy
